Item,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G),Dairy,Egg,Soy,Wheat,Tree Nuts,Fish,Price,Description,Ingredients
chicken sandwich,183g,440,17,4,0,70,1400,41,1,6,29,1,1,1,1,0,0,4.99,"A boneless breast of chicken seasoned to perfection, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips. Also available on a multigrain bun.","Chicken (boneless, skinless chicken breast with rib meat, enriched bleached flour [with malted barley flour, niacin, iron thiamine mononitrate, riboflavin, folic acid], fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent} added], sugar, salt, monosodium glutamate, pasteurized nonfat dry milk, leavening [sodium bicarbonate, sodium aluminum phosphate, monocalcium phosphate], spices, water, soybean oil, paprika, pasteurized egg), bun (bleached and unbleached enriched flour [wheat flour {malted barley flour, reduced iron, niacin, thiamin mononitrate (Vitamin B1), riboflavin (Vitamin B2), folic acid}], water, sugar, yeast, soybean oil, vital wheat gluten, salt, cultured wheat flour, vinegar, calcium propionate [preservative], organic acids, monoglycerides, sesame flour, DATEM, soy lecithin, enzymes, wheat flour, calcium carbonate, ascorbic acid [dough conditioner], wheat starch, citric acid, potassium iodate, buttered flavored oil [soybean oil, palm kernel oil, soy lecithin, natural flavor, beta carotene]), pickles (cucumbers, water, vinegar, salt, calcium chloride, potassium sorbate [preservative], turmeric extract [color], natural flavor, dill pickle spice, beta carotene [color], garlic emulsion)"
deluxe sandwich,233g,450,17,4,0,70,1410,43,2,7,30,1,1,1,1,0,0,5.39,"A boneless breast of chicken seasoned to perfection, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, green leaf lettuce, and tomato. Also available on a multigrain bun.","Chicken (boneless, skinless chicken breast with rib meat, enriched bleached flour [with malted barley flour, niacin, iron thiamine mononitrate, riboflavin, folic acid], fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent} added], sugar, salt, monosodium glutamate, pasteurized nonfat dry milk, leavening [sodium bicarbonate, sodium aluminum phosphate, monocalcium phosphate], spices, water, soybean oil, paprika, pasteurized egg), bun (bleached and unbleached enriched flour [wheat flour {malted barley flour, reduced iron, niacin, thiamin mononitrate (Vitamin B1), riboflavin (Vitamin B2), folic acid}], water, sugar, yeast, soybean oil, vital wheat gluten, salt, cultured wheat flour, vinegar, calcium propionate [preservative], organic acids, monoglycerides, sesame flour, DATEM, soy lecithin, enzymes, wheat flour, calcium carbonate, ascorbic acid [dough conditioner], wheat starch, citric acid, potassium iodate, buttered flavored oil [soybean oil, palm kernel oil, soy lecithin, natural flavor, beta carotene]), tomato, green leaf lettuce, pickles (cucumbers, water, vinegar, salt, calcium chloride, potassium sorbate [preservative], turmeric extract [color], natural flavor, dill pickle spice, beta carotene [color], garlic emulsion)"
spicy chicken sandwich,188g,460,19,4,0,65,1670,45,2,6,28,1,1,1,1,0,0,5.29,"A boneless breast of chicken seasoned with a spicy blend of peppers, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips. Also available on a multigrain bun.","Chicken (spicy chicken breast filets with rib meat containing up to 15% solution of water, seasoning [corn maltodextrin, spice, rice starch, tapioca maltodextrin, salt, cotton seed oil, spice and color {contains paprika}, garlic powder, natural flavoring {milk, soy}], modified food starch, coated with up to 4% of salt, monosodium glutamate, sugar, spices, paprika, enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, leavening, spice, nonfat milk, soybean oil, whey, color [paprika, yellow #6], fully refined peanut oil, with dimethylpolysiloxane [an anti-foam agent] added, pasteurized nonfat milk, pasteurized egg, water), bun (bleached and unbleached enriched flour [wheat flour {malted barley flour, reduced iron, niacin, thiamin mononitrate (Vitamin B1), riboflavin (Vitamin B2), folic acid}], water, sugar, yeast, soybean oil, vital wheat gluten, salt, cultured wheat flour, vinegar, calcium propionate [preservative], organic acids, monoglycerides, sesame flour, DATEM, soy lecithin, enzymes, wheat flour, calcium carbonate, ascorbic acid [dough conditioner], wheat starch, citric acid, potassium iodate, buttered flavored oil [soybean oil, palm kernel oil, soy lecithin, natural flavor, beta carotene]), pickles (cucumbers, water, vinegar, salt, calcium chloride, potassium sorbate [preservative], turmeric extract [color], natural flavor, dill pickle spice, beta carotene [color], garlic emulsion)"
spicy deluxe sandwich,238g,470,19,4.5,0,65,1670,47,3,7,29,1,1,1,1,0,0,5.69,"A boneless breast of chicken seasoned with a spicy blend of peppers, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, green leaf lettuce, and tomato. Also available on a multigrain bun.","Chicken (spicy chicken breast filets with rib meat containing up to 15% solution of water, seasoning [corn maltodextrin, spice, rice starch, tapioca maltodextrin, salt, cotton seed oil, spice and color {contains paprika}, garlic powder, natural flavoring {milk, soy}], modified food starch, coated with up to 4% of salt, monosodium glutamate, sugar, spices, paprika, enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, leavening, spice, nonfat milk, soybean oil, whey, color [paprika, yellow #6], fully refined peanut oil, with dimethylpolysiloxane [an anti-foam agent] added, pasteurized nonfat milk, pasteurized egg, water), bun (bleached and unbleached enriched flour [wheat flour {malted barley flour, reduced iron, niacin, thiamin mononitrate (Vitamin B1), riboflavin (Vitamin B2), folic acid}], water, sugar, yeast, soybean oil, vital wheat gluten, salt, cultured wheat flour, vinegar, calcium propionate [preservative], organic acids, monoglycerides, sesame flour, DATEM, soy lecithin, enzymes, wheat flour, calcium carbonate, ascorbic acid [dough conditioner], wheat starch, citric acid, potassium iodate, buttered flavored oil [soybean oil, palm kernel oil, soy lecithin, natural flavor, beta carotene]), tomato, green leaf lettuce, pickles (cucumbers, water, vinegar, salt, calcium chloride, potassium sorbate [preservative], turmeric extract [color], natural flavor, dill pickle spice, beta carotene [color], garlic emulsion)"
8 count nuggets,113g,250,11,2.5,0,85,1210,11,0,1,27,1,1,0,1,0,0,5.09,"Bite-sized pieces of boneless chicken breast, seasoned to perfection, freshly breaded and pressure cooked in 100% refined peanut oil. Available with choice of dipping sauce.","Chicken (boneless, skinless chicken breast meat nuggets, enriched bleached flour [with malted barley flour, niacin, iron thiamine mononitrate, riboflavin, folic acid], fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent} added], sugar, salt, monosodium glutamate, pasteurized nonfat dry milk, leavening [sodium bicarbonate, sodium aluminum phosphate, monocalcium phosphate], spices, water, soybean oil, paprika, pasteurized egg)"
12 count nuggets,170g,380,17,3.5,0,125,1820,16,0,1,40,1,1,0,1,0,0,6.95,"Bite-sized pieces of boneless chicken breast, seasoned to perfection, freshly breaded and pressure cooked in 100% refined peanut oil. Available with choice of dipping sauce.","Chicken (boneless, skinless chicken breast meat nuggets, enriched bleached flour [with malted barley flour, niacin, iron thiamine mononitrate, riboflavin, folic acid], fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent} added], sugar, salt, monosodium glutamate, pasteurized nonfat dry milk, leavening [sodium bicarbonate, sodium aluminum phosphate, monocalcium phosphate], spices, water, soybean oil, paprika, pasteurized egg)"
3 count chicken strips,136g,310,14,2.5,0,75,870,16,0,2,29,1,1,0,1,0,0,3.65,"Made from the most tender part of the chicken breast, our Chick-n-Strips are marinated in special seasonings, freshly breaded and pressure cooked to perfection in 100% refined peanut oil.","Chicken (boneless, skinless breast tenderloins, yeast extract, salt, maltodextrin, potassium chloride, spice, flavor, chicken fat, garlic powder, sugar syrup, onion powder, citric acid, paprika [color], sodium diacetate, silicon dioxide [anticaking agent], molasses, tomato powder, smoke flavor, enriched bleached flour [with malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, nonfat milk, leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], spice, soybean oil, color [paprika], pasteurized nonfat milk, pasteurized egg, fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent} added])"
4 count chicken strips,181g,410,19,3.5,0,100,1150,22,0,2,39,1,1,0,1,0,0,5.39,"Made from the most tender part of the chicken breast, our Chick-n-Strips are marinated in special seasonings, freshly breaded and pressure cooked to perfection in 100% refined peanut oil.","Chicken (boneless, skinless breast tenderloins, yeast extract, salt, maltodextrin, potassium chloride, spice, flavor, chicken fat, garlic powder, sugar syrup, onion powder, citric acid, paprika [color], sodium diacetate, silicon dioxide [anticaking agent], molasses, tomato powder, smoke flavor, enriched bleached flour [with malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, nonfat milk, leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], spice, soybean oil, color [paprika], pasteurized nonfat milk, pasteurized egg, fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent} added])"
grilled chicken sandwich,218g,380,12,2,0,75,760,43,3,11,28,0,1,0,1,0,0,6.69,"A lemon-herb marinated boneless breast of chicken, grilled for a tender and juicy backyard-smoky taste, served on a toasted multigrain bun with green leaf lettuce and tomato. The grilled chicken sandwich pairs well with Honey Roasted BBQ sauce.","Chicken (boneless skinless chicken breast containing up to 16% solution of water, seasoning [yeast extract, onion powder, sea salt, garlic powder, sugar, salt, corn maltodextrin, gum arabic, natural flavor, lemon juice concentrate, vinegar solids], chicken flavor [chicken breast meat, chicken stock, salt, maltodextrin], modified corn starch, apple cider vinegar, water, soybean oil, sugar, cane molasses, salt, spices, chicken fat, dehydrated onion, yeast extract, corn maltodextrin, lemon peel, dehydrated garlic, red bell pepper, paprika, parsley, xanthan gum, natural flavor [including smoke] and calcium disodium EDTA [to protect quality], high oleic canola oil, dimethylpolysiloxane added to reduce foaming), brioche bun (water, enriched flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], grain blend [whole wheat flour, whole grain yellow corn flour, organic whole grain oat flour, whole grain barley flour, whole grain triticale flour, whole grain rye flour, salt], sugar, yeast, soybean oil, honey, wheat gluten, cultured wheat flour blend [wheat flour, cultured wheat flour], salt, monoglyceride, guar gum, rolled baby oats, degerminated yellow corn flour, dextrose, wheat starch, vinegar, wheat bran topping, wheat flour, maltodextrin, acetic acid, pea protein, cornstarch, enzymes, ascorbic acid [dough conditioner], canola oil, natural flavor, paprika, calcium carbonate, calcium sulfate, medium chain triglycerides, organic rice concentrate, turmeric, sunflower oil, potato protein, faba bean protein, gum arabic, citric acid), tomato, green leaf lettuce, honey roasted BBQ (soybean oil, sugar, water, distilled vinegar, honey, mustard [water, distilled vinegar, mustard seed, salt, turmeric, spices. may contain paprika and garlic powder]"
8 count grilled nuggets,95g,130,3,0.5,0,85,440,1,0,1,25,0,0,0,0,0,0,5.95,"Bite-sized pieces of freshly marinated boneless breast of chicken, grilled for a tender and juicy backyard-smoky taste. Available with guest's choice of dipping sauce.","Boneless skinless, chicken breast containing up to 16% solution of water, seasoning (yeast extract, onion powder, sea salt, garlic powder, sugar, salt, corn maltodextrin, gum arabic, natural flavor, lemon juice concentrate, vinegar solids), chicken flavor (chicken breast meat, chicken stock, salt, maltodextrin), modified corn starch, apple cider vinegar, water, soybean oil, sugar, cane molasses, salt, spices, chicken fat, dehydrated onion, yeast extract, corn maltodextrin, lemon peel, dehydrated garlic, red bell pepper, paprika, parsley, xanthan gum, natural flavor (including smoke) and calcium disodium EDTA (to protect quality), high oleic canola oil, dimethylpolysiloxane added to reduce foaming"
12 count grilled nuggets,142g,200,4.5,1,0,130,660,2,0,1,38,0,0,0,0,0,0,8.39,"Bite-sized pieces of freshly marinated boneless breast of chicken, grilled for a tender and juicy backyard-smoky taste. Available with guest's choice of dipping sauce.","Boneless skinless, chicken breast containing up to 16% solution of water, seasoning (yeast extract, onion powder, sea salt, garlic powder, sugar, salt, corn maltodextrin, gum arabic, natural flavor, lemon juice concentrate, vinegar solids), chicken flavor (chicken breast meat, chicken stock, salt, maltodextrin), modified corn starch, apple cider vinegar, water, soybean oil, sugar, cane molasses, salt, spices, chicken fat, dehydrated onion, yeast extract, corn maltodextrin, lemon peel, dehydrated garlic, red bell pepper, paprika, parsley, xanthan gum, natural flavor (including smoke) and calcium disodium EDTA (to protect quality), high oleic canola oil, dimethylpolysiloxane added to reduce foaming"
grilled chicken club,228g,430,15,3.5,0,85,970,44,3,11,32,0,1,0,1,0,0,8.19,"A lemon-herb marinated boneless breast of chicken, grilled for a tender and juicy backyard-smokey taste, served on a toasted multigrain brioche bun with applewood smoked bacon, green leaf lettuce and tomato. Pairs well with Honey Roasted BBQ Sauce.","Chicken (boneless skinless chicken breast containing up to 16% solution of water, seasoning [yeast extract, onion powder, sea salt, garlic powder, sugar, salt, corn maltodextrin, gum arabic, natural flavor, lemon juice concentrate, vinegar solids], chicken flavor [chicken breast meat, chicken stock, salt, maltodextrin], modified corn starch, apple cider vinegar, water, soybean oil, sugar, cane molasses, salt, spices, chicken fat, dehydrated onion, yeast extract, corn maltodextrin, lemon peel, dehydrated garlic, red bell pepper, paprika, parsley, xanthan gum, natural flavor [including smoke] and calcium disodium EDTA [to protect quality], canola oil, high oleic canola oil, dimethylpolysiloxane added to reduce foaming), brioche bun (water, enriched flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], grain blend [whole wheat flour, whole grain yellow corn flour, organic whole grain oat flour, whole grain barley flour, whole grain triticale flour, whole grain rye flour, salt], sugar, yeast, soybean oil, honey, wheat gluten, cultured wheat flour blend [wheat flour, cultured wheat flour], salt, monoglyceride, guar gum, rolled baby oats, degerminated yellow corn flour, dextrose, wheat starch, vinegar, wheat bran topping, wheat flour, maltodextrin, acetic acid, pea protein, cornstarch, enzymes, ascorbic acid [dough conditioner], canola oil, natural flavor, paprika, calcium carbonate, calcium sulfate, medium chain triglycerides, organic rice concentrate, turmeric, sunflower oil, potato protein, faba bean protein, gum arabic, citric acid), tomato, green leaf lettuce, bacon (pork, water, salt, sugar, sodium phosphate, natural flavor, sodium diacetate, sodium erythorbate, sodium nitrite, smoke), honey roasted BBQ sauce (soybean oil, sugar, water, distilled vinegar, honey, mustard [water, distilled vinegar, mustard seed, salt, turmeric, spices. may contain paprika and garlic powder], tomato paste, egg yolks, salt, onion puree, natural smoke flavor, annatto color"
cool wrap,231g,660,45,9,0,110,1420,32,14,5,43,1,0,1,1,0,0,8.19,"Sliced grilled chicken breast nestled in a fresh mix of green leaf lettuce with a blend of shredded Monterey Jack and Cheddar cheeses, tightly rolled in a flaxseed flour flat bread. Made fresh daily. Pairs well with Avocado Lime Ranch dressing.","Flatbread (water, bread base [wheat gluten, corn starch, oat fiber, soy protein isolate, soybean oil, defatted soy flour, salt, sesame flour, whole wheat flour, calcium propionate {mold inhibitor}, potassium sorbate, mono-diglycerides, sucralose, dextrose, l-cysteine], enriched wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], flax flour, contains less than 2% of: ascorbic acid, calcium propionate (mold inhibitor), canola oil, fumaric acid, l-cysteine, yeast, chicken (boneless skinless chicken breast containing up to 16% solution of water, seasoning [yeast extract, onion powder, sea salt, garlic powder, sugar, salt, corn maltodextrin, gum arabic, natural flavor, lemon juice concentrate, vinegar solids], chicken flavor [chicken breast meat, chicken stock, salt, maltodextrin], modified corn starch, apple cider vinegar, water, soybean oil, sugar, cane molasses, salt, spices, chicken fat, dehydrated onion, yeast extract, corn maltodextrin, lemon peel, dehydrated garlic, red bell pepper, paprika, parsley, xanthan gum, natural flavor [including smoke] and calcium disodium EDTA [to protect quality], high oleic canola oil, dimethylpolysiloxane added to reduce foaming), green leaf lettuce, green and red lettuce, green cabbage, cheese (cheddar cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes, annatto {color}], Monterey jack cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes], potato starch, powdered cellulose [to prevent caking], natamycin [natural mold inhibitor]) Soybean oil, cultured buttermilk, water, avocado, distilled vinegar, egg yolk, sugar, salt, garlic*, onion*, spice, fruit juice and turmeric (color), lactic acid, spice, xanthan gum, reconstituted lime juice concentrate (water, lime juice), sodium benzoate and potassium sorbate (preservatives), disodium guanylate"
